sta,net,lat,lon,ele
BD15,B4,50.9145,6.5903,74.0
BER,B4,50.9593,6.6355,78.0
HNK,B4,51.096533,6.464822,133.0
MIL,B4,50.991683,6.556971,125.0
ROE,B4,50.943313,6.674004,126.0
SIN,B4,50.917506,6.66368,123.0
HMB,B4,50.936491,6.483115,139.0
BD17,B4,51.046901,6.404548,143.0
BD14,B4,51.081524,6.392214,122.0
FUN,B4,50.884191,6.501562,158.0
AHRW,GR,50.541,7.076,-319.0
BUG,GR,51.4412,7.2707,65.0
KAST,GR,51.20272,8.416204,616.0
MILB,GR,49.8284,9.2923,369.0
TNS,GR,50.2236,8.4489,815.0
HGN,NL,50.764,5.9317,135.0
HRKB,NL,51.1879,6.1678,1.0
MAME,NL,50.8,5.9727,154.0
OPLO,NL,51.5888,5.8121,1.0
ROLD,NL,50.86939,6.08469,145.0
TERZ,NL,50.756763,5.906114,150.0
VKB,NL,50.8669,5.7847,90.0
BHE,NH,50.3529,7.1796,290.0
ENT,NH,51.2416,7.4115,300.0
GSH,NH,50.7359,6.3797,370.0
HES,NH,51.367,7.042,130.0
LOH,NH,50.1825,6.5356,580.0
OLF,NH,50.4939,6.4202,470.0
PLH,NH,51.0043,6.8199,-300.0
RWB,NH,51.1018,6.155,45.0
SOR,NH,51.3497,7.9714,280.0
TDN,NH,50.575,6.9445,406.0
WBS,NH,50.8061,7.2831,130.0
XAN,NH,51.663,6.452,24.0
ACN,NH,50.7746,6.0839,163.0
JCK,NH,51.0353,6.4314,109.0
BA01,BQ,50.7789,6.0614,216.0
BA02,BQ,50.7722,6.2157,230.0
BA04,BQ,50.762,6.7941,118.0
BA05,BQ,50.9175,6.6637,72.0
BA06,BQ,50.9196,6.7052,73.0
BA08,BQ,50.9642,7.0755,58.0
BA09,BQ,50.9638,7.1755,200.0
BA10,BQ,50.6131,6.9945,186.0
BA11,BQ,50.7666,6.501,138.0
BA12,BQ,50.9091,6.1863,116.0
BA13,BQ,51.0707,6.0753,42.0
BA14,BQ,50.6717,6.5661,239.0
BA15,BQ,50.7117,6.9275,157.0
BA16,BQ,51.0301,6.6616,81.0
BA17,BQ,51.2516,6.3657,65.0
BA18,BQ,50.5938,6.8393,262.0
BA26,BQ,50.9261,6.9329,47.0
BA19,BQ,50.9412,6.9577,48.0
BA20,BQ,50.9412,6.9577,80.0
BA21,BQ,50.9412,6.9577,135.0
BA22,BQ,50.9412,6.9577,165.0
BA23,BQ,50.9412,6.9577,110.0
BA30,BQ,50.842519,6.278102,157.0
DREG,BQ,50.661833,6.23,395.0
BNS,BQ,50.96297,7.17501,262.0
HOBG,BQ,50.98273,7.33271,270.0
HILG,BQ,50.291974,6.678656,571.0
JUE,BQ,50.910534,6.409547,148.0
BGG,BQ,50.20507,7.33665,140.0
KLL,BQ,50.6467,6.3113,440.0
KOE,BQ,50.42407,7.731363,601.0
LAUG,BQ,51.350569,6.940529,187.0
RODG,BQ,51.1447,6.1803,70.0
NAST,BQ,50.195425,7.860908,374.0
BEBN,BE,50.797,5.6778,80.0
OPTB,BE,51.1115,5.636,51.0
RCHB,BE,50.1559,5.2276,221.0
UCC,BE,50.79724,4.36038,100.0
MEM,BE,50.608691,6.009614,244.3
MRG,BE,50.51123,6.07412,674.0
HOU,BE,50.35356,6.00517,495.0
BIW,LE,50.7308,7.8373,312.0
GLOK,LE,50.54466,7.43375,293.0
LAGB,LE,50.3608,7.1007,372.0
MUEZ,LE,50.26253,6.25044,543.0
HMES,RN,51.65777,7.72634,56.0
BAVN,RN,51.738,7.122,65.0
BPFI,RN,51.4185,7.2276,120.0
ZER1,RN,51.59472,6.82523,58.0
DOR50,YD,51.525864,7.553876,76.0
HAM29,YD,51.659767,7.822975,66.0
LUN39,YD,51.603756,7.538812,46.0
WER38,YD,51.65009,7.565257,77.0
KLB,LU,50.1,6.109,475.0
VIA,LU,49.9351,6.2025,306.0
WILW,LU,49.99233,6.00481,357.0
CB21,ZB,50.860186,6.330475,139.0
CB22,ZB,50.82393176,6.31124583,190.272
TB16,ZB,50.87974,6.331636,146.0
TB17,ZB,50.852841,6.316028,183.0
TB18,ZB,50.801145,6.280039,193.0
TB19,ZB,50.849672,6.351232,170.0
TB20,ZB,50.92868145,6.32374391,120.967
R5F74,AM,50.93693694,7.277145275,168.0
RB99F,AM,50.95495495,7.166330586,200.0
R79BC,AM,50.16216216,7.889410246,370.0
R00A4,AM,51.03603604,5.845722394,31.0
RA538,AM,51.03603604,5.845709777,31.0
RFA17,AM,50.67567568,7.066202715,164.0
R942F,AM,51.4954955,7.439029882,104.0
R28DF,AM,50.51351351,7.282807997,63.0
R3B38,AM,50.15315315,8.015793865,501.0
R653E,AM,50.32432432,7.211084891,246.0
R1055,AM,50.11711712,8.008776126,452.0
R71C2,AM,51.33333333,6.53300399,43.0
R898A,AM,51.34234234,5.43813383,26.0
R21A2,AM,51.43243243,7.54407332,128.0
R5CF8,AM,50.1981982,5.573625888,299.0
R8795,AM,50.75675676,6.978268798,102.0
R5D58,AM,50.86486486,6.109977567,142.0
R4C26,AM,50.82882883,6.076317602,180.0
R5B44,AM,50.56756757,6.213571534,100.0
REE4E,AM,50.91891892,7.274501559,108.0
R6250,AM,51.0,7.202025424,180.0
R9335,AM,50.7027027,6.159354023,265.0
R81B0,AM,50.74774775,7.147928079,68.0
R6FAF,AM,50.40540541,6.361374134,684.0
GWBC,HS,50.3926,8.2687,197.0
GWBD,HS,50.114,7.9021,428.0
GWBE,HS,50.1064,8.1804,272.0
GWBO,HS,49.936,7.9876,286.0
WBFO,HS,50.5745,8.4227,211.0
